mcc_code,day,volume
4814,457,12051395.00682238
4814,458,12271857.198087536
4814,459,12361318.073643787
4814,460,12253893.272732241
4814,461,12510852.85264922
4814,462,12818500.092143087
4814,463,12569023.726737263
4814,464,12489489.406211564
4814,465,12829458.508847335
4814,466,12934821.309455505
4814,467,12787241.877725521
4814,468,12889897.466515029
4814,469,13254511.643223858
4814,470,13061761.623541154
4814,471,12939559.23308588
4814,472,13335661.210803416
4814,473,13395213.934720267
4814,474,13294213.045203127
4814,475,13384589.226992095
4814,476,13767397.104152521
4814,477,13591225.213206664
4814,478,13501101.868491534
4814,479,13529149.421410026
4814,480,9466649.574420925
4814,481,12262871.946117062
4814,482,12347744.432275098
4814,483,12554455.70135775
4814,484,12446871.88689787
4814,485,12500166.56570615
4814,486,11007758.211996183
4829,457,253283147.0946527
4829,458,267422395.7364411
4829,459,273897853.7372757
4829,460,271517663.7081926
4829,461,276991197.98066443
4829,462,273280006.7757666
4829,463,269585628.3951706
4829,464,264872049.50161076
4829,465,281748426.59740895
4829,466,289064364.8476945
4829,467,280068190.9295666
4829,468,287551031.8320273
4829,469,287867118.980246
4829,470,277058831.16259694
4829,471,272846678.0152464
4829,472,292543183.0824959
4829,473,299279656.4140538
4829,474,290780823.46520346
4829,475,297549349.6598194
4829,476,297821889.42307776
4829,477,292043657.461421
4829,478,285243639.8737329
4829,479,297041275.88469654
4829,480,200216659.22279328
4829,481,267536675.53508422
4829,482,265325099.56755143
4829,483,271932283.7964351
4829,484,272979936.7075995
4829,485,261993989.749443
4829,486,232297999.18520054
5499,457,6171558.7695906665
5499,458,6157260.279788297
5499,459,6155005.653482938
5499,460,6197606.74808126
5499,461,6312142.881765887
5499,462,6566014.275421889
5499,463,6514913.255915563
5499,464,6388893.755966696
5499,465,6375648.264239174
5499,466,6437434.439066339
5499,467,6457111.465274973
5499,468,6498629.19945156
5499,469,6775698.459322572
5499,470,6769497.503351891
5499,471,6675938.605699478
5499,472,6640174.958959584
5499,473,6661691.417184407
5499,474,6674716.225194694
5499,475,6724607.336051989
5499,476,7044771.447836738
5499,477,7098294.880851185
5499,478,6971622.260653754
5499,479,6764953.74242322
5499,480,4808064.829554162
5499,481,6174950.114108455
5499,482,6072903.61441741
5499,483,6456717.335978181
5499,484,6508553.653437896
5499,485,6400213.12250226
5499,486,5575490.425826824
5541,457,7900431.774141607
5541,458,7937651.230518133
5541,459,8023383.993725161
5541,460,8048399.597401498
5541,461,8080395.303377145
5541,462,8352190.695654829
5541,463,8413078.674290285
5541,464,8211659.752557011
5541,465,8275563.373534375
5541,466,8380788.777264175
5541,467,8388977.62739691
5541,468,8400763.118538745
5541,469,8662158.955914259
5541,470,8661630.245306477
5541,471,8527336.36338101
5541,472,8599993.331991484
5541,473,8684924.066441981
5541,474,8640508.26055147
5541,475,8745568.050942814
5541,476,9064046.680871354
5541,477,8989115.286548678
5541,478,8908275.934491973
5541,479,8844883.97033691
5541,480,6206313.813696062
5541,481,7915395.198515172
5541,482,7938620.302265758
5541,483,8342000.760728537
5541,484,8355250.1025050655
5541,485,8262944.732713176
5541,486,7259544.599860119
5200,457,1150100.432419667
5200,458,1140658.7290395065
5200,459,1120432.4397055844
5200,460,1186769.3323075387
5200,461,1161675.5083273826
5200,462,1188727.5049175154
5200,463,1260952.5844336797
5200,464,1196081.2010910613
5200,465,1188945.2789144502
5200,466,1217375.1400232234
5200,467,1211369.009796333
5200,468,1176092.7815897176
5200,469,1292602.2485148222
5200,470,1297584.0764363275
5200,471,1211590.9299562129
5200,472,1222514.9461455906
5200,473,1242760.7118092566
5200,474,1224756.4048861237
5200,475,1260721.6267123572
5200,476,1320200.5813315045
5200,477,1359880.4319663423
5200,478,1347482.616425936
5200,479,1235950.0000513713
5200,480,908755.9271716573
5200,481,1161746.4440558879
5200,482,1118859.9690958264
5200,483,1175374.8654599509
5200,484,1228351.2866286065
5200,485,1224457.3065341646
5200,486,1086077.6049377888
5732,457,2507126.418270199
5732,458,2462981.085744258
5732,459,2416365.4240909372
5732,460,2436808.29558179
5732,461,2529108.8422668744
5732,462,2596219.1037724335
5732,463,2613233.1543729366
5732,464,2514944.301566719
5732,465,2499485.4149334235
5732,466,2648081.3463262436
5732,467,2661857.860610438
5732,468,2551439.722482632
5732,469,2611638.3450049115
5732,470,2593684.4830818484
5732,471,2717684.2358723925
5732,472,2609566.547518307
5732,473,2660395.78536602
5732,474,2561115.0159227685
5732,475,2631964.922150181
5732,476,2620901.803611502
5732,477,2855270.084056583
5732,478,2781464.8438739367
5732,479,2688641.2629643395
5732,480,1922868.0973755305
5732,481,2417398.241020288
5732,482,2402978.8822144223
5732,483,2489434.929783304
5732,484,2697189.6935857735
5732,485,2423900.3470329167
5732,486,2214769.913755914
6011,457,368075446.17859644
6011,458,377149248.5941063
6011,459,390024818.2643104
6011,460,388290900.22064614
6011,461,395321421.918583
6011,462,399834900.72695404
6011,463,388053978.2680132
6011,464,380571552.7949174
6011,465,399347118.1832098
6011,466,413081341.87456095
6011,467,403931212.5491277
6011,468,411044168.06656694
6011,469,415762532.37182266
6011,470,405784503.7991271
6011,471,397984490.53979987
6011,472,415001944.0743985
6011,473,425907921.8410841
6011,474,417287893.38516015
6011,475,424221569.0143022
6011,476,433698954.1977564
6011,477,425362368.4155473
6011,478,414799355.6263482
6011,479,423316300.18065476
6011,480,282557826.70474184
6011,481,384447046.174901
6011,482,380478651.0370985
6011,483,391646939.5787757
6011,484,391646939.5787757
6011,485,382878113.64732414
6011,486,332711119.9978048
5331,457,4514523.474642302
5331,458,4439101.778908427
5331,459,4479934.177825931
5331,460,4452671.062874628
5331,461,4604136.388437892
5331,462,4778221.68788141
5331,463,4751173.215401458
5331,464,4646486.662008821
5331,465,4616518.9748674175
5331,466,4703560.21400997
5331,467,4674936.350950646
5331,468,4739586.6002878295
5331,469,4966158.600264949
5331,470,5010920.802188503
5331,471,4904701.282187674
5331,472,4808358.330016704
5331,473,4893935.08445629
5331,474,4795753.97235293
5331,475,4993821.162158376
5331,476,5162431.944340777
5331,477,5101036.320946145
5331,478,4999311.10242535
5331,479,4931419.4704850605
5331,480,3518165.410001617
5331,481,4472283.724937045
5331,482,4436934.533757964
